      1.000000	0.000514  
     0.992836	0.001482
     0.981052	0.003074
     0.967821	0.004862
     0.952989	0.006866
     0.936635	0.009075
     0.919167	0.011435
     0.901089	0.013878
     0.882691	0.016364
     0.864046	0.018883
     0.845194	0.021430
     0.826166	0.024001
     0.806981	0.026593
     0.787653	0.029205
     0.768198	0.031833
     0.748657	0.034473
     0.729107	0.037115
     0.709615	0.039748
     0.690213	0.042370
     0.670897	0.044980
     0.651662	0.047578
     0.632502	0.050167
     0.613412	0.052746
     0.586682	0.056358
     0.575422	0.057858
     0.556515	0.060277
     0.537674	0.062553
     0.518907	0.064675
     0.500218	0.066628
     0.481603	0.068403
     0.463056	0.069989
     0.444575	0.071377
     0.426162	0.072557
     0.407822	0.073518
     0.389566	0.074250
     0.371400	0.074742
     0.353304	0.074984
     0.335230	0.074967
     0.317128	0.074695
     0.298991	0.074175
     0.280853	0.073413
     0.262759	0.072409
     0.244730	0.071158
     0.226769	0.069658
     0.208892	0.067903
     0.191146	0.065894
     0.173594	0.063629
     0.156282	0.061103
     0.139232	0.058308
     0.122517	0.055237
     0.106377	0.051917
     0.091149	0.048425
     0.077162	0.044857
     0.064657	0.041316
     0.053755	0.037903
     0.044442	0.034699
     0.036594	0.031691
     0.030029	0.028852
     0.024523	0.026166
     0.019869	0.023613
     0.015917	0.021168
     0.012543	0.018812
     0.009649	0.016530
     0.007169	0.014305
     0.005064	0.012113
     0.003329	0.009916
     0.001962	0.007699
     0.000967	0.005466
     0.000333	0.003244
     0.000035	0.001062
     0.000000	0.000000
     0.000035	-0.001062
     0.000333	-0.003244
     0.000967	-0.005466
     0.001962	-0.007699
     0.003329	-0.009916
     0.005064	-0.012113
     0.007169	-0.014305
     0.009649	-0.016530
     0.012543	-0.018812
     0.015917	-0.021168
     0.019869	-0.023613
     0.024523	-0.026166
     0.030029	-0.028852
     0.036594	-0.031691
     0.044442	-0.034699
     0.053755	-0.037903
     0.064657	-0.041316
     0.077162	-0.044857
     0.091149	-0.048425
     0.106377	-0.051917
     0.122517	-0.055237
     0.139232	-0.058308
     0.156282	-0.061103
     0.173594	-0.063629
     0.191146	-0.065894
     0.208892	-0.067903
     0.226769	-0.069658
     0.244730	-0.071158
     0.262759	-0.072409
     0.280853	-0.073413
     0.298991	-0.074175
     0.317128	-0.074695
     0.335230	-0.074967
     0.353304	-0.074984
     0.371400	-0.074742
     0.389566	-0.074250
     0.407822	-0.073518
     0.426162	-0.072557
     0.444575	-0.071377
     0.463056	-0.069989
     0.481603	-0.068403
     0.500218	-0.066628
     0.518907	-0.064675
     0.537674	-0.062553
     0.556515	-0.060277
     0.575422	-0.057858
     0.586682	-0.056358
     0.613412	-0.052746
     0.632502	-0.050167
     0.651662	-0.047578
     0.670897	-0.044980
     0.690213	-0.042370
     0.709615	-0.039748
     0.729107	-0.037115
     0.748657	-0.034473
     0.768198	-0.031833
     0.787653	-0.029205
     0.806981	-0.026593
     0.826166	-0.024001
     0.845194	-0.021430
     0.864046	-0.018883
     0.882691	-0.016364
     0.901089	-0.013878
     0.919167	-0.011435
     0.936635	-0.009075
     0.952989	-0.006866
     0.967821	-0.004862
     0.981052	-0.003074
     0.992836	-0.001482
     1.000000	-0.000514
